source_id,edge_id,edge_kind,length_km,peak_inflow_kw,geometry_json,original_road_segments,building_id
H2,road::00808,road,0.012640291862042446,3624.806792169433,"[[10.2169,50.0405548],[10.2169253,50.0406673]]",1,
H2,road::00809,road,0.058844727458607665,3652.583377719204,"[[10.2169088,50.0404446],[10.2168828,50.0403364],[10.2168954,50.040269],[10.2169327,50.0402069],[10.2169796,50.040158],[10.217088,50.0400737],[10.2172258,50.0399953]]",6,
H2,road::00811,road,0.051856149752667106,3572.0298617885564,"[[10.2169253,50.0406673],[10.2170272,50.041129]]",1,
H2,road::00820,road,0.030187768617019505,3189.5355116534647,"[[10.2170272,50.041129],[10.2170905,50.0413974]]",1,
H2,road::00823,road,0.008918743851651787,3160.388407441469,"[[10.2170905,50.0413974],[10.2172137,50.0413852]]",1,
H2,road::00824,road,0.10010386694839682,28.444429256352006,"[[10.2170905,50.0413974],[10.2173027,50.0422872]]",1,
H2,road::00827,road,0.008823358844963112,26.251917560478734,"[[10.2171918,50.0423219],[10.2173027,50.0422872]]",1,
H2,road::00828,road,0.048133616592033864,3108.035979839021,"[[10.2172137,50.0413852],[10.2178779,50.0413165]]",1,
H2,road::00860,road,0.15571041042202982,12722.953186058465,"[[10.2176949,50.0388555],[10.2177945,50.03868],[10.2185442,50.0388557],[10.2184445,50.0390311],[10.2176949,50.0388555]]",4,
H2,road::00864,road,0.01873670012806541,105.1481826672903,"[[10.2177183,50.0422055],[10.217772,50.042283],[10.2178457,50.0423519]]",2,
H2,road::00867,road,0.016286234198609768,157.28603725383076,"[[10.2177559,50.0408472],[10.2179235,50.0409463]]",1,
H2,road::00872,road,0.04875877938207242,184.79577292359616,"[[10.2178443,50.0418291],[10.2182129,50.0414603]]",1,
H2,road::00873,road,0.009022723225099196,183.8815134525565,"[[10.2178457,50.0423519],[10.2179356,50.0424088]]",1,
H2,road::00874,road,0.014556047485546657,78.53510199197027,"[[10.2178457,50.0423519],[10.2178806,50.0423304],[10.2179651,50.0423028],[10.2180254,50.0423045]]",3,
H2,road::00875,road,0.008614451196401366,3002.1744028510893,"[[10.2178779,50.0413165],[10.2179811,50.0413564]]",1,
H2,road::00876,road,0.013784523561713054,209.80100640157684,"[[10.2179235,50.0409463],[10.2180763,50.0410218]]",1,
H2,road::00877,road,0.023269415105185175,204.50395683301844,"[[10.2179356,50.0424088],[10.2180322,50.0424561],[10.2181914,50.042538]]",2,
H2,road::00880,road,0.020212851503751527,2396.4335581637956,"[[10.2179811,50.0413564],[10.2182129,50.0414603]]",1,
H2,road::00881,road,0.03424903923289239,579.4792407499617,"[[10.2179811,50.0413564],[10.2182484,50.0411009]]",1,
H2,road::00887,road,0.003073784603486891,52.16873105950368,"[[10.2180254,50.0423045],[10.218067,50.0423114]]",1,
H2,road::00888,road,0.00530189652441709,26.2263002124136,"[[10.218067,50.0423114],[10.2181233,50.0423424]]",1,
H2,road::00889,road,0.0151326392563731,315.2899716889649,"[[10.2180763,50.0410218],[10.2182484,50.0411009]]",1,
H2,road::00890,road,0.032652602467123974,53.04294176773459,"[[10.2180763,50.0410218],[10.2183423,50.0407832]]",1,
H2,road::00891,road,0.020289595934275463,26.37598127424512,"[[10.2181116,50.0406771],[10.2183423,50.0407832]]",1,
H2,road::00898,road,0.018379842759898554,204.90792912414764,"[[10.2181914,50.042538],[10.2183098,50.0424352],[10.2183437,50.0424049]]",2,
H2,road::00900,road,0.036302027592075944,2106.874133357198,"[[10.2182129,50.0414603],[10.2186133,50.0416608]]",1,
H2,road::00904,road,0.01098991428678218,77.91348911837059,"[[10.2182443,50.0418585],[10.2183402,50.0417813]]",1,
H2,road::00905,road,0.03265501401084221,211.32589823996273,"[[10.2182484,50.0411009],[10.2185058,50.0408584]]",1,
H2,road::00912,road,0.012532948931099819,56.522394112426106,"[[10.2183081,50.0425284],[10.2184084,50.042436]]",1,
H2,road::00914,road,0.02887662542829879,130.57363306890497,"[[10.2183402,50.0417813],[10.2184449,50.0418117],[10.2186133,50.0416608]]",2,
H2,road::00915,road,0.005778430308458249,205.0349341059775,"[[10.2183437,50.0424049],[10.2184084,50.042436]]",1,
H2,road::00922,road,0.00805777377029853,261.73462987875183,"[[10.2184084,50.042436],[10.2184729,50.0423766]]",1,
H2,road::00927,road,0.007884852024028284,78.95390566240154,"[[10.2184729,50.0423766],[10.2185627,50.0424177]]",1,
H2,road::00928,road,0.03290822034605224,341.4137816016446,"[[10.2184729,50.0423766],[10.2185185,50.0423346],[10.2187304,50.0421314]]",2,
